bamboribu1907,Jalgaon-dharangaon-GP-bamboribu
charthana1911,Jalgaon-Muktainagar-GP-charthana
chikhali1911,Jalgaon-Muktainagar-GP-chikhali
chichkhedabu1911,Jalgaon-Muktainagar-GP-chichkhedabu
chichkhedakhu1911,Jalgaon-Muktainagar-GP-chichkhedakhu
ghodsagaon1911,Jalgaon-Muktainagar-GP-ghodsagaon
hartale1911,Jalgaon-Muktainagar-GP-hartale
halkheda1911,Jalgaon-Muktainagar-GP-halkheda
jodhankheda1911,Jalgaon-Muktainagar-GP-jodhankheda
kakoda1911,Jalgaon-Muktainagar-GP-kakoda
karki1911,Jalgaon-Muktainagar-GP-karki
khamkheda1911,Jalgaon-Muktainagar-GP-khamkheda
kothali1911,Jalgaon-Muktainagar-GP-kothali
kurha1911,Jalgaon-Muktainagar-GP-kurha
loharkheda1911,Jalgaon-Muktainagar-GP-loharkheda
nimkhedi.k1911,Jalgaon-Muktainagar-GP-nimkhedi khu
manegaon1911,Jalgaon-Muktainagar-GP-manegaon
melsagave1911,Jalgaon-Muktainagar-GP-melsagave
mundholde1911,Jalgaon-Muktainagar-GP-mundholde
naygoan1911,Jalgaon-Muktainagar-GP-naygoan
narvel1911,Jalgaon-Muktainagar-GP-narvel
nimkhedi.bk1911,Jalgaon-Muktainagar-GP-nimkhedi bk
malegaon1911,Jalgaon-Muktainagar-GP-malegaon
pimpri.akaraut1911,Jalgaon-Muktainagar-GP-pimpri akaraut
pimpri.nandu1911,Jalgaon-Muktainagar-GP-pimpri nandu
purnad1911,Jalgaon-Muktainagar-GP-purnad
rajura1911,Jalgaon-Muktainagar-GP-rajura
ruikheda1911,Jalgaon-Muktainagar-GP-ruikheda
saroda1911,Jalgaon-Muktainagar-GP-saroda
satod1911,Jalgaon-Muktainagar-GP-satod
shemalda1911,Jalgaon-Muktainagar-GP-shemalda
sukali1911,Jalgaon-Muktainagar-GP-sukali
sule1911,Jalgaon-Muktainagar-GP-sule
takali1911,Jalgaon-Muktainagar-GP-takali
taroda1911,Jalgaon-Muktainagar-GP-taroda
uchanda1911,Jalgaon-Muktainagar-GP-uchanda
vadhave1911,Jalgaon-Muktainagar-GP-vadhave
vadhoda1911,Jalgaon-Muktainagar-GP-vadhoda
salbardi1911,Jalgaon-Muktainagar-GP-salbardi
belaswadi1911,Jalgaon-Muktainagar-GP-belaswadi
bhote1911,Jalgaon-Muktainagar-GP-bhote
chinchol1911,Jalgaon-Muktainagar-GP-chinchol
dhamande1911,Jalgaon-Muktainagar-GP-dhamande
dhamangaon1911,Jalgaon-Muktainagar-GP-dhamangaon
hivara1911,Jalgaon-Muktainagar-GP-hivara
mahalkheda1911,Jalgaon-Muktainagar-GP-mahalkheda
parambi1911,Jalgaon-Muktainagar-GP-parambi
patondi1911,Jalgaon-Muktainagar-GP-patondi
pimprada1911,Jalgaon-Muktainagar-GP-pimprada
pimpri.pancham1911,Jalgaon-Muktainagar-GP-pimpri pancham
ichapur1911,Jalgaon-Muktainagar-GP-ichapur
muktainagar1911,Jalgaon-Muktainagar-GP-muktainagar
vayala1911,Jalgaon-Muktainagar-GP-vayala
dui1911,Jalgaon-Muktainagar-GP-dui
kolhala1911,Jalgaon-Muktainagar-GP-kolhala
mehun1911,Jalgaon-Muktainagar-GP-mehun
nandvel1911,Jalgaon-Muktainagar-GP-nandvel
panchane1911,Jalgaon-Muktainagar-GP-panchane
thorala1911,Jalgaon-Muktainagar-GP-thorala
kedegaonnadi1912,Jalgaon-Pachora-GP-kedegaonnadi
pungaon1912,Jalgaon-Pachora-GP-pungaon
wadgaonbhu1912,Jalgaon-Pachora-GP-wadgaonbhu
lohtar1912,Jalgaon-Pachora-GP-lohtar
nachankedha1912,Jalgaon-Pachora-GP-nachankedha
dabuni1912,Jalgaon-Pachora-GP-dabuni
veralikhu1912,Jalgaon-Pachora-GP-veralikhu
mondhala1912,Jalgaon-Pachora-GP-mondhala
khajora1912,Jalgaon-Pachora-GP-khajora
bambrudbhu1912,Jalgaon-Pachora-GP-bambrudbhu
bambrudraniche1912,Jalgaon-Pachora-GP-bambrudraniche
pimpribhuprabhakajgaon1912,Jalgaon-Pachora-GP-pimpribhuprabhakajgaon
satgaondongri1912,Jalgaon-Pachora-GP-satgaondongri
wadgaonkade1912,Jalgaon-Pachora-GP-wadgaonkade
sewade1912,Jalgaon-Pachora-GP-sewade
loharibhu1912,Jalgaon-Pachora-GP-loharibhu
wanegoan1912,Jalgaon-Pachora-GP-wanegoan 
kurhadkhu1912,Jalgaon-Pachora-GP-kurhadkhu
varsadeprabha1912,Jalgaon-Pachora-GP-varsadeprabha
verulikhu1912,Jalgaon-Pachora-GP-verulikhu
wadi1912,Jalgaon-Pachora-GP-wadi
rajuribhu1912,Jalgaon-Pachora-GP-rajuribhu
bhartekku1912,Jalgaon-Pachora-GP-bhartekku
tarkedhabhu1912,Jalgaon-Pachora-GP-tarkedhabhu
vishnunagar1912,Jalgaon-Pachora-GP-vishnunagar
savyebupralo1912,Jalgaon-Pachora-GP-savyebupralo
tarkedhabhu1912,Jalgaon-Pachora-GP-tarkedhabhu
doklkedha1912,Jalgaon-Pachora-GP-doklkedha
kuradbhud1912,Jalgaon-Pachora-GP-kuradbhud
nipane1912,Jalgaon-Pachora-GP-nipane
galankhu1912,Jalgaon-Pachora-GP-galankhu
dongargaon1912,Jalgaon-Pachora-GP-dongargaon
pardhade1912,Jalgaon-Pachora-GP-pardhade
gusardi1912,Jalgaon-Pachora-GP-gusardi
galanbhu1912,Jalgaon-Pachora-GP-galanbhu
kasamsara1912,Jalgaon-Pachora-GP-kasamsara 
sahapura1912,Jalgaon-Pachora-GP-sahapura
wadgaonambe1912,Jalgaon-Pachora-GP-wadgaonambe
bhatkandabhu1912,Jalgaon-Pachora-GP-bhatkandabhu
bokari1912,Jalgaon-Pachora-GP-bokari
dahigaon1912,Jalgaon-Pachora-GP-dahigaon
kolhe1912,Jalgaon-Pachora-GP-kolhe
kurangi1912,Jalgaon-Pachora-GP-kurangi
pimprikhu1912,Jalgaon-Pachora-GP-pimprikhu
aozar1912,Jalgaon-Pachora-GP-aozar
samner1912,Jalgaon-Pachora-GP-samner
nibhoribhu1912,Jalgaon-Pachora-GP-nibhoribhu
wadharke1912,Jalgaon-Pachora-GP-wadharke
shindad1912,Jalgaon-Pachora-GP-shindad
lasgaon1912,Jalgaon-Pachora-GP-lasgaon
dighi1912,Jalgaon-Pachora-GP-dighi
boje1912,Jalgaon-Pachora-GP-boje
tusakedha1912,Jalgaon-Pachora-GP-tusakedha
aakatwade1912,Jalgaon-Pachora-GP-aakatwade
lasure1912,Jalgaon-Pachora-GP-lasure
sawakedhakhu1912,Jalgaon-Pachora-GP-sawakedhakhu
sawakedhabhu1912,Jalgaon-Pachora-GP-sawakedhabhu
savyebuprabha1912,Jalgaon-Pachora-GP-savyebuprabha
aatalgawhan1912,Jalgaon-Pachora-GP-aatalgawhan
warakedha1912,Jalgaon-Pachora-GP-warakedha
neri1912,Jalgaon-Pachora-GP-neri
hhol1912,Jalgaon-Pachora-GP-hhol
wadgaonkhuprapa1912,Jalgaon-Pachora-GP-wadgaonkhuprapa
aatulikupra1912,Jalgaon-Pachora-GP-aatulikupra
wadgaonmulave1912,Jalgaon-Pachora-GP-wadgaonmulave
chinchpure1912,Jalgaon-Pachora-GP-chinchpure
pimpalgaonhare1912,Jalgaon-Pachora-GP-pimpalgaonhare
anturlibhupralo1912,Jalgaon-Pachora-GP-anturlibhupralo
lohara1912,Jalgaon-Pachora-GP-lohara
nandra1912,Jalgaon-Pachora-GP-nandra
pahan1912,Jalgaon-Pachora-GP-pahan
jargaon1912,Jalgaon-Pachora-GP-jargaon
wadgaonbkprabha1912,Jalgaon-Pachora-GP-wadgaonbkprabha
anturli1912,Jalgaon-Pachora-GP-anturli bkprapa
bildiku1912,Jalgaon-Pachora-GP-bildiku
kadakdevlabhu1912,Jalgaon-Pachora-GP-kadakdevlabhu
chinchkheda1912,Jalgaon-Pachora-GP-chinchkheda
tarakheda1912,Jalgaon-Pachora-GP-tarakheda ku
mohadi1912,Jalgaon-Pachora-GP-mohadi
wagulkheda1912,Jalgaon-Pachora-GP-wagulkheda
goradkhedakhu1912,Jalgaon-Pachora-GP-goradkhedakhu
kasampura1912,Jalgaon-Pachora-GP-kasampura
hanumanwadi1912,Jalgaon-Pachora-GP-hanumanwadi
naiknagar1912,Jalgaon-Pachora-GP-naiknagar
pimpalgaonkuprabha1912,Jalgaon-Pachora-GP-pimpalgaonkuprabha
sajgaon1912,Jalgaon-Pachora-GP-sajgaon
sarolaku1912,Jalgaon-Pachora-GP-sarolaku
sarolabu1912,Jalgaon-Pachora-GP-sarolabu
pimpribkprabha1912,Jalgaon-Pachora-GP-pimpribkprabha
goradkhedabk1912,Jalgaon-Pachora-GP-goradkhedabk
nagardevala1912,Jalgaon-Pachora-GP-nagardevala
mahegi1912,Jalgaon-Pachora-GP-mahegi
warsadeprabho1912,Jalgaon-Pachora-GP-warsadeprabho
bhardabk1912,Jalgaon-Pachora-GP-bhardabk
asankheda1912,Jalgaon-Pachora-GP-asankheda
rameswar1912,Jalgaon-Pachora-GP-rameswar
mhasas1912,Jalgaon-Pachora-GP-mhasas
sangavibkpralo1912,Jalgaon-Pachora-GP-sangavibkpralo
wardgaonbkprapa1912,Jalgaon-Pachora-GP-wardgaonbkprapa
kadakdevla.b1912,Jalgaon-Pachora-GP-kadakdevla  bu
atwade1914,Jalgaon-Raver-GP-atwade
Ajnad1914,Jalgaon-Raver-GP-Ajnad
ahirwadi1914,Jalgaon-Raver-GP-ahirwadi
ajande1914,Jalgaon-Raver-GP-ajande
abhodabu1914,Jalgaon-Raver-GP-abhodabu
aandalwadi1914,Jalgaon-Raver-GP-aandalwadi
udalibu1914,Jalgaon-Raver-GP-udalibu
udalikh1914,Jalgaon-Raver-GP-udalikh
utkheda1914,Jalgaon-Raver-GP-utkheda
eainpur1914,Jalgaon-Raver-GP-eainpur
Karjod1914,Jalgaon-Raver-GP-Karjod
kalmoda1914,Jalgaon-Raver-GP-kalmoda
kandwel1914,Jalgaon-Raver-GP-kandwel
kusumbebu1914,Jalgaon-Raver-GP-kusumbebu
kusumbekh1914,Jalgaon-Raver-GP-kusumbekh
kumbharkheda1914,Jalgaon-Raver-GP-kumbharkheda
kerhalebu1914,Jalgaon-Raver-GP-kerhalebu
kerhalekh1914,Jalgaon-Raver-GP-kerhalekh
kochurbu1914,Jalgaon-Raver-GP-kochurbu
kochurkh1914,Jalgaon-Raver-GP-kochurkh
kolada1914,Jalgaon-Raver-GP-kolada
khanapur1914,Jalgaon-Raver-GP-khanapur
khirdibu1914,Jalgaon-Raver-GP-khirdibu 
khirdikh1914,Jalgaon-Raver-GP-khirdikh
khirwad1914,Jalgaon-Raver-GP-khirwad
khirodapra1914,Jalgaon-Raver-GP-khirodapra
khirodapya1914,Jalgaon-Raver-GP-khirodapya
gahikheda1914,Jalgaon-Raver-GP-gahikheda
Gate1914,Jalgaon-Raver-GP-Gate
gaurkheda1914,Jalgaon-Raver-GP-gaurkheda
chinaval1914,Jalgaon-Raver-GP-chinaval
Janori1914,Jalgaon-Raver-GP-Janori
Jinci1914,Jalgaon-Raver-GP-Jinci
tamaswadi1914,Jalgaon-Raver-GP-tamaswadi
tandalwadi1914,Jalgaon-Raver-GP-tandalwadi
taskheda1914,Jalgaon-Raver-GP-taskheda
therole1914,Jalgaon-Raver-GP-therole
thorgavhan1914,Jalgaon-Raver-GP-thorgavhan
dasnur1914,Jalgaon-Raver-GP-dasnur
Dodhe1914,Jalgaon-Raver-GP-Dodhe
dhamodi1914,Jalgaon-Raver-GP-dhamodi
dhurkheda1914,Jalgaon-Raver-GP-dhurkheda
nimadya1914,Jalgaon-Raver-GP-nimadya
Nirul1914,Jalgaon-Raver-GP-Nirul
nimbol1914,Jalgaon-Raver-GP-nimbol
nimbhorasim1914,Jalgaon-Raver-GP-nimbhorasim
nimborabu1914,Jalgaon-Raver-GP-nimborabu
nehate1914,Jalgaon-Raver-GP-nehate
nandurkheda1914,Jalgaon-Raver-GP-nandurkheda
padalebu1914,Jalgaon-Raver-GP-padalebu
padalekh1914,Jalgaon-Raver-GP-padalekh
Pal1914,Jalgaon-Raver-GP-Pal
Patondi1914,Jalgaon-Raver-GP-Patondi
Puri1914,Jalgaon-Raver-GP-Puri
punaskheda1914,Jalgaon-Raver-GP-punaskheda
Pimpri1914,Jalgaon-Raver-GP-Pimpri
bakshipur1914,Jalgaon-Raver-GP-bakshipur
Balwadi1914,Jalgaon-Raver-GP-Balwadi
bhatkhede1914,Jalgaon-Raver-GP-bhatkhede
Bhokari1914,Jalgaon-Raver-GP-Bhokari
Bhor1914,Jalgaon-Raver-GP-Bhor
maskawadbu1914,Jalgaon-Raver-GP-maskawadbu
maskawadsim1914,Jalgaon-Raver-GP-maskawadsim
maskawadkh1914,Jalgaon-Raver-GP-maskawadkh
Mangi1914,Jalgaon-Raver-GP-Mangi
mohmandali1914,Jalgaon-Raver-GP-mohmandali
magalwadi1914,Jalgaon-Raver-GP-magalwadi
morgaonbu1914,Jalgaon-Raver-GP-morgaonbu
morgaonkh1914,Jalgaon-Raver-GP-morgaonkh
munjalwadi1914,Jalgaon-Raver-GP-munjalwadi
ramjipur1914,Jalgaon-Raver-GP-ramjipur
rasalpur1914,Jalgaon-Raver-GP-rasalpur
rangaon1914,Jalgaon-Raver-GP-rangaon
Raypur1914,Jalgaon-Raver-GP-Raypur
rebhota1914,Jalgaon-Raver-GP-rebhota
Rozoda1914,Jalgaon-Raver-GP-Rozoda
Lohara1914,Jalgaon-Raver-GP-Lohara
wadgaon1914,Jalgaon-Raver-GP-wadgaon
Waghod1914,Jalgaon-Raver-GP-Waghod
waghadi1914,Jalgaon-Raver-GP-waghadi
waghodabu1914,Jalgaon-Raver-GP-waghodabu
waghodakh1914,Jalgaon-Raver-GP-waghodakh
wivarebu1914,Jalgaon-Raver-GP-wivarebu
wivarekh1914,Jalgaon-Raver-GP-wivarekh
witwa1914,Jalgaon-Raver-GP-witwa
shingadi1914,Jalgaon-Raver-GP-shingadi
sakhedbu1914,Jalgaon-Raver-GP-sakhedbu
sawkhedakh1914,Jalgaon-Raver-GP-sawkhedakh
sunoda1914,Jalgaon-Raver-GP-sunoda
singat1914,Jalgaon-Raver-GP-singat
sahsraling1914,Jalgaon-Raver-GP-sahsraling 
sudgaon1914,Jalgaon-Raver-GP-sudgaon
shindkheda1914,Jalgaon-Raver-GP-shindkheda
sulwadi1914,Jalgaon-Raver-GP-sulwadi
